,COMBINED ADDRESS,USE TYPES,# OF UNITS,BUILDING SQFT,LAND SQFT,YEAR BUILT,EFFECTIVE YEAR BUILT
260,4364 BERRYMAN AVE LOS ANGELES CA 90066-6035,Multi-Family Residence,10,"6,524","7,500",1963,1963
261,4273 HAYVENHURST AVE LOS ANGELES CA 91436-3561,Single Family Residence,1,"5,965","18,480",2004,2004
262,872 W VERNON AVE LOS ANGELES CA 90037-3040,Multi-Family Residence,4,"3,492","6,300",1920,1920
263,17248 AVENIDA DE LA HERRADURA LOS ANGELES CA 90272-2003,Single Family Residence,1,"3,282","7,137",1977,1977
264,1929 S HARCOURT AVE LOS ANGELES CA 90016-1507,Multi-Family Residence,4,"4,076",,1926,1930
265,6633 CANOGA AVE LOS ANGELES CA 91303-2703,Industrial,,0,,,
266,473 CARROLL AVE LOS ANGELES CA 90291-4677,Multi-Family Residence,2,"1,800",,1965,1965
267,9911 ANTHONY PL LOS ANGELES CA 90210-2001,Single Family Residence,1,"4,012","8,064",1960,1981
268,"1155 N LA CIENEGA BLVD, NO 814 WEST HOLLYWOOD CA 90069-2444",Condominium,1,"1,161",,1964,1964
269,762 E 12TH ST LOS ANGELES CA 90021-2102,Commercial,1,"4,880","5,680",1967,2000
270,754 E 12TH ST LOS ANGELES CA 90021-2102,Commercial,1,"4,880","5,720",1967,2000
271,7802 FOOTHILL BLVD LOS ANGELES CA 91040-2993,Commercial,0,"8,219","10,320",2004,2004
272,7816 BERGER AVE PLAYA DEL REY CA 90293-7927,Single Family Residence,1,"6,578","8,190",2004,2008
273,11837 COURTLEIGH DR LOS ANGELES CA 90066-6392,Multi-Family Residence,10,"10,590","8,100",1989,1989
274,1540 3RD AVE LOS ANGELES CA 90019-4544,Multi-Family Residence,1,690,,1925,1935
275,2030 AVENUE 52 LOS ANGELES CA 90042-0000,Single Family Residence,1,"2,550","16,110",2007,2007
276,966 OAKMONT ST LOS ANGELES CA 90049-2228,Single Family Residence,1,"8,870","46,990",1961,1978
277,11141 CASHMERE ST LOS ANGELES CA 90049-3233,Single Family Residence,1,"2,688","6,840",1952,1965
278,1301 CENTER COURT DR COVINA CA 91724-3663,Vacant Land,,0,,,
279,1715 LA CRESTA DR PASADENA CA 91103-1262,Single Family Residence,1,"2,482","18,560",1947,1947
280,101 REES ST LOS ANGELES CA 90293-7661,Single Family Residence,1,"1,716","2,720",1928,1928
281,17455 TRAMONTO DR LOS ANGELES CA 90272-3126,Single Family Residence,1,"5,617",,2006,2006
282,315 S THURSTON AVE LOS ANGELES CA 90049-3125,Single Family Residence,1,"1,709","7,000",1951,1963
283,8000 W MANCHESTER AVE LOS ANGELES CA 90293-7949,Multi-Family Residence,68,"58,580","67,346",2007,2007
284,8000 W MANCHESTER AVE LOS ANGELES CA 90293-7949,Multi-Family Residence,68,"58,580","67,346",2007,2007
285,8000 W MANCHESTER AVE LOS ANGELES CA 90293-7949,Multi-Family Residence,68,"58,580","67,346",2007,2007
286,1749 S SHERBOURNE DR LOS ANGELES CA 90035-4328,Single Family Residence,,0,"5,502",,
287,429 N SPAULDING AVE LOS ANGELES CA 90036-2290,Multi-Family Residence,4,"3,781",,1925,1926
288,3021 N BEVERLY GLEN CIR LOS ANGELES CA 90077-1727,Single Family Residence,1,"4,762","8,500",2005,2005
289,1637 S BERENDO ST LOS ANGELES CA 90006-4410,Multi-Family Residence,4,"2,348",,1914,1928
290,13051 VICTORY BLVD LOS ANGELES CA 91606-2925,Commercial,1,"32,057",,1977,1982
291,5137 11TH AVE LOS ANGELES CA 90043-4846,Single Family Residence,1,"1,852","7,500",1911,1920
292,13320 BEACH AVE LOS ANGELES CA 90292-5622,Vacant Land,,0,,,
293,8816 HANNA AVE LOS ANGELES CA 91304-1352,Single Family Residence,1,"2,028","10,998",1964,1964
294,609 W 78TH ST LOS ANGELES CA 90044-6019,Multi-Family Residence,2,"1,908","7,000",1914,1914
295,1315 S LA BREA AVE LOS ANGELES CA 90019-2916,Industrial,0,"1,000","5,525",1939,1939
296,10620 MOUNT GLEASON AVE LOS ANGELES CA 91042-1664,Single Family Residence,1,"2,173","4,920",1928,1973
297,1372 N SERRANO AVE LOS ANGELES CA 90027-5629,Multi-Family Residence,12,"6,426","8,750",1957,1957
298,10205 PINEWOOD AVE LOS ANGELES CA 91042-2432,Multi-Family Residence,24,"18,367",,1963,1963
299,1332 W COLORADO BLVD LOS ANGELES CA 90041-0000,Multi-Family Residence,,0,,,
300,5400 BEETHOVEN ST LOS ANGELES CA 90066-7017,Commercial,0,"15,694","24,605",1972,1978
301,6338 WOODMAN AVE LOS ANGELES CA 91401-2345,Commercial,0,"5,210","11,560",2007,2007
302,2986 NICADA DR LOS ANGELES CA 90077-2036,Single Family Residence,1,"2,600",,1977,1978
303,1360 ABBOT KINNEY BLVD LOS ANGELES CA 90291-3778,Commercial,0,"3,400","3,600",1931,1943
304,3003 OCEAN FRONT WALK LOS ANGELES CA 90291-4313,Multi-Family Residence,2,"3,511","2,520",1954,1985
305,514 SAN JUAN AVE LOS ANGELES CA 90291-3327,Multi-Family Residence,2,"1,584",,1945,1945
306,11249 CALIFA ST LOS ANGELES CA 91601-1205,Multi-Family Residence,1,"1,238","7,000",1926,1926
307,12932 VANOWEN ST LOS ANGELES CA 91605-4825,Multi-Family Residence,4,"7,150","8,280",2009,2009
308,1148 LA ROSA RD ARCADIA CA 91007-6144,Single Family Residence,1,"2,229","10,950",1950,1954
309,11100 DEBBY ST LOS ANGELES CA 91606-3710,Single Family Residence,1,"2,574","7,303",1959,1975
310,6430 COLGATE AVE LOS ANGELES CA 90048-4409,Single Family Residence,1,"3,786","6,050",2008,2008
311,9790 WENDOVER DR LOS ANGELES CA 90210-1228,Single Family Residence,1,"4,303","15,930",1972,1982
312,1640 N CAHUENGA BLVD LOS ANGELES CA 90028-6202,Commercial,0,"8,000","4,000",1905,1944
313,1846 N FRANKLIN CANYON DR LOS ANGELES CA 90210-0000,Single Family Residence,1,"4,066","8,692",2008,2008
314,830 S FLOWER ST INGLEWOOD CA 90301-7920,Multi-Family Residence,9,"7,975",,1961,1961
315,1217 CITRUS ST LA HABRA CA 90631-8361,Single Family Residence,1,"2,193","21,830",1961,1962
316,1229 S BEDFORD DR LOS ANGELES CA 90035-1014,Single Family Residence,1,"2,461","6,160",1946,1946
317,12000 LA MIRADA BLVD LA MIRADA CA 90638-1304,Institutional,,0,,,
318,15461 ALBRIGHT ST LOS ANGELES CA 90272-2525,Single Family Residence,1,"4,323","9,216",1950,1980
319,820 S SPRING ST LOS ANGELES CA 90014-2904,Commercial,0,"9,533","3,283",1900,1920
320,454 E MARTIN LUTHER KING JR BLVD LOS ANGELES CA 90011-5619,Other Property Type,,0,,,
321,7501 RINDGE AVE LOS ANGELES CA 90293-8037,Single Family Residence,1,"2,750","4,980",2009,2009
322,1367 EDGECLIFFE DR LOS ANGELES CA 90026-1503,Multi-Family Residence,3,"4,164",,1926,1926
323,4704 S WILTON PL LOS ANGELES CA 90062-1949,Multi-Family Residence,1,610,"6,500",1923,1926
324,14360 VALERIO ST LOS ANGELES CA 91405-1471,Multi-Family Residence,48,"52,266",,1964,1964
325,783 N BEL AIR ROAD LOS ANGELES CA 90077-0000,Vacant Land,,0,,,
326,556 W 23RD ST LOS ANGELES CA 90731-5906,Multi-Family Residence,4,"3,266","5,000",1959,1959
327,6209 OCEAN FRONT WALK LOS ANGELES CA 90293-7527,Single Family Residence,1,"5,795","3,610",2011,2011
328,2608 ORANGE GROVE AVE ALHAMBRA CA 91803-4109,Single Family Residence,1,"1,747","6,400",1941,1942
329,423 N MANSFIELD AVE LOS ANGELES CA 90036-2621,Single Family Residence,1,"4,309","7,425",1926,1970
330,16829 SATICOY ST LOS ANGELES CA 91406-2728,Industrial,,0,,,
331,11255 MOORPARK ST LOS ANGELES CA 91602-2649,Multi-Family Residence,23,"22,176",,1961,1961
332,1557 TOWER GROVE DR LOS ANGELES CA 90210-2141,Single Family Residence,1,"6,013","14,910",1960,1980
333,260 LORING AVE LOS ANGELES CA 90024-2639,Single Family Residence,1,"3,677","8,200",1937,1950
334,1367 JONESBORO DR LOS ANGELES CA 90049-3625,Single Family Residence,1,"2,404","12,240",1955,1963
335,5717 S VERMONT AVE LOS ANGELES CA 90037-3930,Commercial,0,"4,730","17,040",1993,1993
336,15241 DE PEDRO CT BALDWIN PARK CA 91706-1967,Single Family Residence,1,"2,055","5,074",2018,2018
337,4155 DIXIE CANYON AVE LOS ANGELES CA 91423-4337,Single Family Residence,1,"2,560","8,820",1923,1990
338,1282 S HIGHLAND AVE LOS ANGELES CA 90019-1732,Multi-Family Residence,2,"2,846","6,000",1928,1928
339,819 S FLOWER ST LOS ANGELES CA 90017-4607,Commercial,68,"28,765",,1925,1940
340,700 N BEVERLY GLEN BLVD LOS ANGELES CA 90077-3102,Single Family Residence,1,"5,576","33,000",1936,1950
341,807 WINDING BROOK LN WALNUT CA 91789-1429,Single Family Residence,1,"2,189","11,730",1987,1987
342,4253 LA RICA AVE BALDWIN PARK CA 91706-3136,Single Family Residence,1,897,"10,150",1953,1953
343,9476 GLEN O PEACE PKWY LOS ANGELES CA 91042-3062,Single Family Residence,1,"3,449","11,376",2015,2015
344,2219 E 1ST ST LOS ANGELES CA 90033-3901,Commercial,0,"9,240",,1965,1975
345,17716 POSETANO RD LOS ANGELES CA 90272-4158,Single Family Residence,1,"2,250","4,620",1956,1975
346,2905 ELVIDO DR LOS ANGELES CA 90049-1106,Single Family Residence,,0,,,
347,8553 CEDROS AVE LOS ANGELES CA 91402-2929,Multi-Family Residence,11,"6,445",,1965,1965
348,6318 W QUEBEC DR LOS ANGELES CA 90068-0000,Single Family Residence,1,"3,649","4,424",2015,2015
349,441 N FLORES ST LOS ANGELES CA 90048-2611,Single Family Residence,1,"1,894","6,500",1928,1929
350,8230 OWENSMOUTH AVE LOS ANGELES CA 91304-4149,Multi-Family Residence,23,"17,952",,1960,1960
351,1508 ELEVADO ST LOS ANGELES CA 90026-1640,Single Family Residence,1,"1,487",,1936,1936
352,10776 ROSE AVE LOS ANGELES CA 90034-4452,Multi-Family Residence,21,"15,125","16,740",1965,1965
353,2559 ABERDEEN AVE LOS ANGELES CA 90027-1219,Single Family Residence,1,"3,457","10,960",1926,1990
354,4025 DON TOMASO DR LOS ANGELES CA 90008-5323,Multi-Family Residence,5,"4,240","8,460",1953,1953
355,5167 GAVIOTA AVE LOS ANGELES CA 91436-1428,Single Family Residence,1,"6,369","9,900",2008,2008
356,6643 RHODES AVE LOS ANGELES CA 91606-1339,Multi-Family Residence,5,"4,599",,,1959
357,15857 STRATHERN ST LOS ANGELES CA 91406-1310,Industrial,,0,,,
358,2301 KIMRIDGE RD LOS ANGELES CA 90210-1830,Single Family Residence,,0,"12,328",,
359,"222 S CENTRAL AVE, UNIT 418 LOS ANGELES CA 90012-4235",Condominium,1,886,,1985,1985
360,2255 INEZ ST LOS ANGELES CA 90023-1220,Multi-Family Residence,1,776,"6,300",1929,1930
361,14851 ASTORIA ST LOS ANGELES CA 91342-5041,Single Family Residence,1,"1,012","6,700",1955,1955
362,7944 WOODROW WILSON DR LOS ANGELES CA 90046-1216,Single Family Residence,1,"3,694","9,800",1940,1946
363,1251 ARMACOST AVE LOS ANGELES CA 90025-1460,Multi-Family Residence,10,"8,980",,1966,1975
364,1984 N CURSON AVE LOS ANGELES CA 90046-2208,Single Family Residence,1,"3,390",,2016,2016
365,740 N STANLEY AVE LOS ANGELES CA 90046-7426,Single Family Residence,1,"4,054","6,890",2017,2017
366,6633 WOODMAN AVE LOS ANGELES CA 91401-1029,Multi-Family Residence,24,"14,614",,1961,1961
367,11310 SANTA MONICA BLVD LOS ANGELES CA 90025-3119,Commercial,0,"7,747",,1919,1941
368,8330 LA VILLA ST DOWNEY CA 90241-3827,Multi-Family Residence,2,"1,662","6,344",1945,1950
369,10213 COMMERCE AVE TUJUNGA CA 91042-0000,Single Family Residence,,0,,,
370,14800 ROSCOE BLVD LOS ANGELES CA 91402-4656,Multi-Family Residence,43,"44,792",,1961,1961
371,1952 COLDWATER CANYON DR LOS ANGELES CA 90210-1731,Single Family Residence,1,"3,749","10,200",1951,1973
372,15500 STEPHEN S WISE DR LOS ANGELES CA 90077-1520,Institutional,1,"19,299","435,840",1968,1968
373,3121 W OLYMPIC BLVD LOS ANGELES CA 90006-2413,Other Property Type,,0,,,
374,8572 HILLSIDE AVE LOS ANGELES CA 90069-1507,Single Family Residence,1,"4,602","5,200",1990,1996
375,3042 W LANDA ST LOS ANGELES CA 90039-0000,Single Family Residence,1,"3,396",,2018,2018
376,11800 WILSHIRE BLVD LOS ANGELES CA 90025-6602,Vacant Land,,0,,,
377,1207 N AVENUE 56 LOS ANGELES CA 90042-1829,Other Property Type,0,"37,319","31,500",,
378,5555 W 6TH ST LOS ANGELES CA 90036-3361,Multi-Family Residence,75,"87,606","157,920",2001,2001
379,150 W 41ST ST LOS ANGELES CA 90037-2213,Multi-Family Residence,2,"3,288","6,075",1921,1937
380,355 N CHICAGO ST LOS ANGELES CA 90033-1826,Multi-Family Residence,2,"2,448","3,993",1922,1956
381,4101 HOLLY KNOLL DR LOS ANGELES CA 90027-3221,Multi-Family Residence,2,"3,700",,1938,1938
382,8842 LAKEWOOD BLVD DOWNEY CA 90240-2302,Single Family Residence,,0,,,
383,8428 CARLTON WAY LOS ANGELES CA 90069-1406,Single Family Residence,1,"4,848","7,546",1926,2019
384,7040 MACAPA DR LOS ANGELES CA 90068-2002,Single Family Residence,1,"2,525","8,000",1956,2005
385,3332 MANDEVILLE CANYON RD LOS ANGELES CA 90049-1018,Single Family Residence,1,"2,172","15,295",1961,1980
386,12002 BENMORE TER LOS ANGELES CA 90049-2004,Single Family Residence,1,"4,927","15,200",1964,2010
387,977 N BROADWAY LOS ANGELES CA 90012-1737,Commercial,0,"65,094","15,900",1983,1983
388,1215 EXPOSITION BLVD LOS ANGELES CA 90007-4250,Multi-Family Residence,5,"4,282",,1957,1957
389,1000 W TEMPLE ST LOS ANGELES CA 90012-1514,Commercial,,0,,,
390,1722 ARMACOST AVE LOS ANGELES CA 90025-3824,Multi-Family Residence,4,"3,708",,1960,1960
391,8415 WYNGATE ST LOS ANGELES CA 91040-3021,Multi-Family Residence,3,"2,165",,1954,1954
392,11105 ROSE AVE LOS ANGELES CA 90034-6057,Multi-Family Residence,18,"19,000","15,232",1970,1970
393,2026 LA CANA DR LA PUENTE CA 91745-4857,Single Family Residence,1,"1,760","11,534",1963,1964
394,9016 THRASHER AVE LOS ANGELES CA 90069-1242,Single Family Residence,,0,"18,330",,
395,1501 FRANCISCO ST LOS ANGELES CA 90501-1330,Industrial,,0,,,
396,701 HAVERFORD AVE LOS ANGELES CA 90272-4313,Single Family Residence,1,"3,380","7,500",2022,2022
397,14200 ARMINTA ST LOS ANGELES CA 91402-6871,Industrial,0,"204,387","368,368",2006,2006
398,3945 ENCINO HILLS PL LOS ANGELES CA 91436-3803,Single Family Residence,1,"3,348","40,200",1964,1965
399,9250 WARBLER WAY LOS ANGELES CA 90069-1135,Single Family Residence,1,"2,429","5,300",1963,1963
400,7400 HOLLYWOOD BLVD LOS ANGELES 46 CALIF,Multi-Family Residence,,0,,,
401,"420 S SAN PEDRO ST, NO 420 LOS ANGELES CA 90013-2192",Condominium,0,"1,140",,1922,1993
402,606 N LARCHMONT BLVD LOS ANGELES CA 90004-1321,Commercial,0,"28,477",,1966,1966
403,12422 BLUFF CREEK DRIVE LOS ANGELES CA 90094-0000,Commercial,0,"27,658","199,200",1942,1995
